Algoritmo,Otimizador,Fold_ID,Tempo_Treinamento_s,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_Kappa,Cenario
MLP,GridSearch,1,14.46,0.60625,0.7474747474747475,0.6607142857142857,0.7014218009478673,0.6138392857142857,0.12983425414364647,PCA
MLP,GridSearch,2,13.65,0.65625,0.7821782178217822,0.7053571428571429,0.7417840375586855,0.6473214285714286,0.23184357541899436,PCA
MLP,GridSearch,3,1.29,0.675,0.8409090909090909,0.6607142857142857,0.74,0.7250744047619048,0.32291666666666663,PCA
MLP,GridSearch,4,0.95,0.60625,0.7578947368421053,0.6428571428571429,0.6956521739130435,0.5915178571428571,0.14864864864864868,PCA
MLP,GridSearch,5,2.36,0.63125,0.8192771084337349,0.6071428571428571,0.6974358974358974,0.7126116071428571,0.25126903553299484,PCA
MLP,RandomSearch,1,12.86,0.60625,0.7474747474747475,0.6607142857142857,0.7014218009478673,0.6138392857142857,0.12983425414364647,PCA
MLP,RandomSearch,2,13.6,0.65625,0.7821782178217822,0.7053571428571429,0.7417840375586855,0.6473214285714286,0.23184357541899436,PCA
MLP,RandomSearch,3,1.45,0.675,0.8409090909090909,0.6607142857142857,0.74,0.7250744047619048,0.32291666666666663,PCA
MLP,RandomSearch,4,0.84,0.60625,0.7578947368421053,0.6428571428571429,0.6956521739130435,0.5915178571428571,0.14864864864864868,PCA
MLP,RandomSearch,5,2.03,0.63125,0.8192771084337349,0.6071428571428571,0.6974358974358974,0.7126116071428571,0.25126903553299484,PCA
MLP,Bayesiana,1,1.84,0.6375,0.7547169811320755,0.7142857142857143,0.7339449541284404,0.6318824404761905,0.16666666666666663,PCA
MLP,Bayesiana,2,2.58,0.575,0.7340425531914894,0.6160714285714286,0.6699029126213593,0.6010044642857143,0.08602150537634412,PCA
MLP,Bayesiana,3,1.59,0.64375,0.8089887640449438,0.6428571428571429,0.7164179104477612,0.7222842261904762,0.25392670157068065,PCA
MLP,Bayesiana,4,2.35,0.61875,0.7524752475247525,0.6785714285714286,0.7136150234741784,0.6069568452380952,0.14804469273743015,PCA
MLP,Bayesiana,5,1.85,0.66875,0.8470588235294118,0.6428571428571429,0.7309644670050761,0.7167038690476191,0.3205128205128205,PCA
